group,Storage Warehouse,Employment Agency,Parking Lot,Secondhand Dealer - Auto,Special Sale,Laundry,Electronics Store,Games of Chance,Amusement Device Temporary,Cabaret,Stoop Line Stand,Pedicab Business,Dealer In Products,Scale Dealer Repairer,Specialty Services,Secondhand Dealer - General,Sidewalk Cafe,Booting Company,Amusement Device Permanent,Gaming Cafe,root,Newsstand,Tow Truck Company,Process Serving Agency,Amusement Device Portable,Electronic & Appliance Service,Cigarette Retail Dealer,Scrap Metal Processor,Secondhand Dealer - Firearms,Service Providers,Transportation and Storage,Garage,General Vendor Distributor,Hospitality and Food Services,Laundry Jobber,Catering Establishment,Garage and Parking Lot,Horse Drawn Cab Owner,Pool or Billiard Room,Commercial Lessor,Bingo Game Operator,Home Improvement Contractor,Retail and Sales,Amusement Arcade,Auction House Premises,Sightseeing Bus,Debt Collection Agency,Property and Real Estate,Tow Truck Exemption,Entertainment and Leisure
41390,0,0,0,0,0,3,6,0,0,0,0,2,0,0,0,4,3,0,0,0,34,1,0,0,1,1,7,0,0,6,3,1,0,3,0,0,0,0,0,0,0,5,18,0,0,0,0,3,0,1
30161,0,1,0,1,0,4,6,0,0,0,3,0,0,0,0,9,3,0,0,0,52,2,1,0,1,3,10,0,0,10,3,1,0,3,0,0,0,1,0,0,0,6,31,0,0,0,0,4,0,1
33884,0,0,1,2,0,4,5,0,0,0,3,0,1,0,0,11,3,0,1,0,71,0,1,1,1,1,12,0,0,19,3,0,0,3,5,0,0,0,1,0,0,16,34,0,0,0,1,9,1,3
769,0,1,1,1,0,6,6,0,0,0,3,0,2,0,1,6,4,1,0,0,87,0,0,0,2,5,24,0,0,20,9,8,0,5,2,1,0,0,0,0,0,14,42,0,0,0,0,8,0,2
41544,0,1,1,1,0,1,1,0,0,0,2,1,0,0,0,4,3,0,0,0,46,0,3,0,1,3,10,0,0,16,7,2,0,3,0,0,0,0,0,0,0,9,18,0,0,0,3,1,0,1
34278,1,0,1,1,0,3,4,0,0,0,2,0,2,0,0,7,1,0,0,0,65,3,2,0,1,4,15,0,0,16,6,2,0,1,4,0,0,0,0,0,0,11,34,0,0,0,1,7,0,1
40448,0,0,2,3,0,4,5,0,0,0,5,1,1,0,0,13,1,0,0,0,77,1,2,0,2,3,16,0,0,18,5,0,0,1,3,0,0,0,0,0,0,14,44,0,0,0,1,7,0,2
887,0,1,0,1,0,3,8,0,0,1,3,1,1,0,0,16,3,0,0,0,80,0,1,0,0,3,11,0,0,24,2,0,0,3,7,0,0,0,0,0,0,18,40,0,0,0,2,10,0,1
41124,0,1,2,0,0,3,2,0,0,0,3,0,0,0,0,5,4,0,0,0,46,0,0,0,2,4,7,0,0,15,3,1,0,4,2,0,0,0,0,0,0,9,17,0,0,0,1,5,0,2
33928,0,2,0,0,0,2,3,1,0,0,2,1,1,1,0,8,0,0,1,0,46,1,0,0,1,2,5,0,0,16,4,2,0,0,1,0,0,1,0,0,0,11,20,0,0,0,0,3,0,3
40977,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,2,0,0,0,27,0,1,0,0,0,7,0,0,7,2,1,0,2,2,0,0,0,0,0,0,7,13,0,0,0,0,3,0,0
34432,0,0,2,2,0,0,2,0,0,0,0,1,0,0,0,3,1,0,0,0,39,2,1,1,0,1,3,0,0,18,4,0,0,1,4,0,0,0,0,0,0,14,12,0,0,0,2,4,0,0
11922,0,1,3,0,0,2,0,0,0,1,6,1,1,0,0,8,1,0,1,0,61,0,0,0,1,4,12,0,0,20,5,1,0,1,3,0,0,0,0,0,0,13,27,0,0,0,2,5,0,3
687,1,0,0,0,0,4,3,0,0,0,4,0,1,0,0,6,3,0,0,0,51,0,0,0,0,5,9,0,0,17,2,0,0,3,1,0,0,0,0,0,0,10,24,0,1,0,2,5,1,0
41628,0,0,1,2,0,4,5,0,0,0,0,2,1,0,0,13,2,0,0,0,68,0,0,0,1,1,21,0,0,14,3,0,0,2,2,0,0,0,0,0,0,12,42,0,0,0,1,6,0,1
767,0,0,0,0,0,0,8,1,0,0,4,0,0,0,0,8,2,0,0,0,67,1,0,0,0,2,15,0,0,24,2,2,0,2,1,0,0,0,0,0,1,18,36,0,0,0,4,1,0,2
41188,0,2,4,0,0,2,2,1,0,0,2,1,1,0,0,4,2,0,0,0,60,0,0,1,2,4,10,0,0,27,5,0,0,2,2,0,0,0,0,0,0,17,19,0,0,0,3,4,0,3
41313,0,0,1,2,0,3,6,0,0,0,3,1,1,0,0,9,2,0,0,0,75,1,0,0,1,5,18,0,0,21,5,3,0,2,3,0,0,0,0,0,0,15,40,0,0,0,1,6,0,1
38400,0,0,2,0,0,1,4,1,0,0,0,0,1,0,0,9,0,0,0,0,66,0,0,0,2,4,16,0,0,21,7,5,0,0,4,0,0,0,0,0,0,17,30,0,0,0,0,5,0,3
814,0,2,0,1,0,1,3,0,0,1,3,0,0,0,0,0,1,0,0,0,37,0,0,0,1,2,8,0,0,17,0,0,0,1,1,0,0,0,0,0,0,11,15,0,0,0,2,2,0,2
40968,0,0,2,1,0,1,6,2,0,0,2,0,3,0,0,11,3,0,0,0,66,0,1,0,1,1,11,0,0,13,8,5,0,3,4,0,0,0,0,0,0,10,34,0,0,0,2,5,0,3
41488,0,1,0,2,0,4,8,0,0,0,2,0,1,0,0,4,2,0,0,0,53,0,1,0,1,3,9,0,0,18,1,0,0,2,1,0,0,0,0,0,0,12,26,0,0,0,2,5,0,1
42091,0,1,0,2,0,6,6,0,0,0,2,0,0,0,0,6,2,0,2,0,80,1,0,0,2,4,20,0,0,23,5,5,0,2,1,0,0,0,1,0,0,15,38,0,1,0,3,7,0,5
44366,1,0,0,2,0,0,3,0,0,0,3,0,0,0,0,8,0,0,0,0,46,0,1,0,1,3,11,0,0,14,2,0,0,0,2,0,0,0,0,0,0,10,27,0,0,0,1,2,0,1
21286,1,0,0,1,0,3,7,0,0,0,4,1,0,0,0,10,1,0,0,0,67,0,1,0,1,3,11,0,0,22,7,4,0,1,0,0,0,0,0,0,0,17,33,0,0,0,2,3,0,1
28261,0,0,0,1,0,3,3,0,0,0,2,0,1,0,0,8,1,0,0,0,56,0,1,1,1,5,15,0,0,15,4,2,0,1,1,0,0,1,1,0,0,8,30,0,0,0,1,4,0,2
11843,0,1,1,0,0,4,3,0,0,0,2,1,4,0,0,8,2,0,0,0,69,3,0,1,1,1,11,0,0,25,2,0,0,2,4,0,0,0,0,0,0,19,31,0,0,0,3,8,0,1
44975,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0,7,2,0,0,0,40,0,1,0,0,1,6,0,0,14,4,1,0,2,0,0,1,0,0,0,1,11,18,0,0,0,2,1,1,1
33730,1,0,1,0,0,3,6,0,0,0,3,0,3,0,1,9,2,0,0,0,74,1,0,0,1,4,11,1,0,24,3,1,0,2,6,0,0,0,1,0,0,19,33,0,0,0,1,9,0,2
44342,1,0,4,1,0,2,4,0,0,0,1,2,0,0,0,1,3,0,0,0,59,0,1,0,1,1,14,0,0,21,10,2,0,3,1,0,0,0,0,0,0,19,21,0,0,0,1,3,0,1
41635,0,0,1,3,0,2,2,0,0,0,4,0,1,0,0,7,1,0,0,0,39,0,2,0,0,0,8,0,0,5,4,1,0,1,1,0,0,0,0,0,0,4,26,0,1,0,1,3,0,0
41642,0,1,1,2,0,2,3,0,0,0,1,0,0,0,0,6,3,0,0,0,50,0,0,0,2,0,7,0,0,16,4,2,0,3,4,0,1,0,0,0,0,15,19,0,0,0,0,6,0,2
17192,0,1,0,1,0,3,4,0,0,0,1,0,1,0,0,5,0,0,0,0,39,0,0,0,1,1,12,0,0,9,1,1,0,0,1,0,0,0,0,0,0,7,24,0,0,0,0,4,0,1
33889,0,1,0,0,0,2,4,0,0,0,1,0,0,0,0,6,1,0,0,0,51,1,1,1,1,2,13,0,0,17,4,3,0,1,1,0,0,0,0,0,0,10,25,0,0,0,3,3,0,1
